name|latitude|longitude
노비아갈라|35.8879967|128.6517102
서원 kingmill|35.87832515|128.7304879
영남이공대 학생회관|35.84716173|128.5865487
영남이공대 토목관|35.84716173|128.5865487
영남이공대 희망관|35.84716173|128.5865487
심인고 체육관|35.84969944|128.5783332
심인고 교사동|35.84969944|128.5783332
심인고 정보관|35.84969944|128.5783332
심인고 본관|35.84969944|128.5783332
심인고 동관|35.84969944|128.5783332
심인중 서관|35.84969944|128.5783332
혁신도시주유소|35.87262427|128.7381273
대림치안센터|35.87536824|128.7549147
안심주유소|35.87174849|128.7366658
옻골|35.874046|128.639578
동화사|36.00225583|128.7028821
이시아폴리스 태왕아너스 상가지점|35.92052117|128.6405026
효경병원|35.87586557|128.6425441
대구효목초등학교|35.87600495|128.641577
대동병원|35.87640522|128.6439413
성원빌딩|35.88560445|128.6349346
대구시민안전테마파크|35.879465|128.635851
이시아폴리스 라이프스타일센터|35.9215394|128.637362
강동노인복지회관|35.86575948|128.7058238
안심공공도서관|35.8590312|128.701814
도평동주민센터|35.90997576|128.65013
동구공예전시장|35.911917|128.6420975
파티마병원|35.88384877|128.6229896
광복회조양회관|35.8770986|128.654603
대원주유소|35.8829273|128.6448824
㈜경북가스|35.88071824|128.635844
SK엔크린효동로주유소|35.883342|128.6435556
효목시장|35.88291358|128.6427251
효목1동주민센터|35.8816142|128.6449448
대구일마이스터고등학교|35.88205179|128.6472206
대구효동초등학교|35.88412597|128.6447523
망우공원|35.893708|128.638279
동촌유원지 녹수대|35.97226|128.728041
경북일보|35.87518|128.6250668
KT효목사옥|35.8786797|128.6335672
효목주유소|35.879266|128.6346735
효목2치안센터|35.8803427|128.6367148
데이콤경북지사|35.8794653|128.635851
대구지방법원|35.87893114|128.6355519
팔공정보문화센터|35.87511048|128.6344813
해맞이동산|35.882909|128.6485644
효목2동주민센터|35.8781522|128.6412466
동부허병원|35.8726473|128.6357572
일호주유소|35.873153|128.6379628
동구시장|35.8740457|128.639578
효목동우체국|35.8753855|128.640342
한국전력공사 동대구지점|35.8748071|128.6409771
대구서촌초등학교|35.98040326|128.6317455
만남주유소|35.9681394|128.6298684
공산파출소|35.97914413|128.6336841
팔공산자연공원5|35.9935605|128.6813231
팔공산자연공원6|35.994133|128.6814789
공산주유소|35.94023587|128.6453868
신숭겸장군유적지|35.94210574|128.6409753
현이주유소|35.9606183|128.6319242
동북주유소|35.95305643|128.6343569
해서초등학교|35.9180615|128.643059
대구공항|35.89988945|128.6375558
팔공산I.C주유소|35.8964705|128.6404051
SK네트웍스㈜ 공항셀프주유소|35.8971279|128.6401579
공항시장|35.896308|128.6389305
공항랜드주유소|35.8958792|128.6410795
하나주유소|35.8960149|128.640138
지저동주민센터|35.9935605|128.6813231
팔공산자연공원7|35.97226|128.7280408
팔공산자연공원8|35.9708248|128.7255456
팔공산자연공원9 (파계지구주차장)|35.99089789|128.637144
동촌유원지|35.878211|128.6546178
아양아트센터|35.87956478|128.6519603
효목1치안센터|35.88483936|128.6405457
대구 대학교 대강당|35.85594572|128.5750742
율하체육공원 관리실|35.85992363|128.69284
율하체육공원 생태연못|35.85992363|128.69284
율하체육공원 잔디구장|35.85992363|128.69284
안일초등학교|35.87142447|128.6952236
율하지하철역|35.98790526|128.6943198
대구율하초등학교|35.86781358|128.7015369
입석중학교|35.89105302|128.6448024
동촌종합사회복지관|35.8938883|128.6449391
동대구우체국|35.8923652|128.6442378
동촌농협|35.89074402|128.6423597
대구입석초등학교|35.89069277|128.6439976
용계지하철역|35.87624356|128.6816456
대성산업㈜ 강촌대성주유소|35.87551034|128.6760278
화랑주유소|35.8748179|128.6768034
동대구터미널주유소|35.8729949|128.6870556
동도주유소|35.8718719|128.6899322
동도LPG충전소|35.87158581|128.6901696
㈜한대동부주유소|35.87488087|128.6873122
안심2동주민센터|35.8754256|128.687081
팔공산자연공원1|35.87691901|128.67844
팔공산자연공원10 (파계지구사무실옆)|35.9938564|128.6378364
팔공산자연공원11|35.87624356|128.681646
팔공산자연공원2|35.87551034|128.6760278
늘푸른알뜰주유소|35.98790526|128.6943218
팔공산자연공원3|35.874818|128.676803
율하체육공원 축구장|35.85992363|128.69284
팔공산자연공원4|35.98790526|128.6943218
롯데쇼핑프라자|35.86846302|128.6933316
사랑어린이공원|35.871872|128.6899322
믿음어린이공원|35.87158581|128.6901696
율하근린공원|35.87488087|128.6873122
율하주유소|35.87302101|128.6998251
샛터근린공원|35.991546|128.698648
봉무공원주차장|35.93576399|128.6442392
봉무공원4|35.92017148|128.649974
봉무공원3|35.92017148|128.649974
봉무공원2|35.92017148|128.649974
봉무공원1|35.92017148|128.649974
불로봉무동주민센터|35.9103078|128.6392874
영신중학교|35.91925526|128.6473981
영신고등학교|35.91925526|128.6473981
대구영신초등학교|35.91925526|128.6473981
국제주유소|35.93241037|128.6435437
공산중학교|35.95506586|128.6906832
케이에이㈜직영|35.8828949|128.6630981
강남병원|35.883069|128.6630316
현대상가시장|35.88278731|128.6657517
세경방촌주유소|35.87958564|128.6717863
방촌치안센터|35.879403|128.6716853
방촌지하철역|35.87996746|128.6699917
해안동주민센터|35.8820761|128.6716797
해안지하철역|35.88382759|128.6590925
방촌주유소|35.8780635|128.6744471
스타하우스|35.87813938|128.6739461
대구용호초등학교|35.87735702|128.6723772
국가대표 제2주유소|35.8776654|128.664889
천광주유소|35.8768668|128.662867
대구방촌초등학교|35.88065514|128.6630347
동촌중학교|35.882418|128.6596605
대구시농업기술센터|35.88008451|128.6602502
대구동촌초등학교|35.882078|128.658931
SK동호주유소|35.86714446|128.7224332
반야월주유소|35.8723123|128.7105107
대구선 반야월공원(역사도서관)|35.872504|128.724961
대구선 동촌공원|35.876033|128.687252
신천도서관|35.871472|128.617757
DTC섬유박물관(대구경제자유구역청)|35.91910021|128.640296
레일카페 화장실|35.86259146|128.737239
동화천 화장실|35.946469|128.637096
불로천 화장실|35.908637|128.646165
금호강 하천변 화장실|35.874765|128.664395
금호강 하천변 화장실|35.877086|128.662044
금호강 하천변 화장실|35.894589|128.633744
연갤러리화장실|35.869001|128.743566
연생태관화장실|35.864218|128.737165
이마트 반야월점|35.8708661|128.7274592
대원석유㈜ 대신주유소|35.87019641|128.7297797
대구교육연수원|35.8724248|128.7024201
팔공노인복지회관|35.8874423|128.6309954
신기중학교|35.86816599|128.7023592
안심1동주민센터|35.8703905|128.7021131
반야월종합시장|35.8724248|128.7024201
대구숙천초등학교|35.8769766|128.7533069
대구반야월초등학교|35.86827367|128.7107622
안심3,4동주민센터|35.87031838|128.7109479
현대우성오일뱅크|35.86577692|128.7114392
금호강주유소|35.9002891|128.62974
불로봉무동우체국|35.92013993|128.6385937
불로전통시장|35.91040163|128.6419419
신암선열공원|35.890622|128.6311237
신암로주유소|35.88107825|128.6121835
한국장학재단|35.8811634|128.6129585
대구공업고등학교|35.88321428|128.6141712
제일안과병원|35.881828|128.6147578
관광고등학교|35.8900476|128.6323697
한국건강관리협회 대구시지부|35.868786|128.6235479
신암중학교|35.8905698|128.6340584
신암5동주민센터|35.8897559|128.6330629
신암1치안센터|35.8857464|128.6165181
대구기상대|35.8855468|128.6189625
신암주유소|35.88554636|128.6155319
신암근린공원|35.88300524|128.6192562
동부여성문화회관|35.89041434|128.6223307
동부도서관|35.8901537|128.6215946
백두산주유소|35.89136623|128.6239094
신암5치안센터|35.889629|128.6346923
평화시장|35.88300524|128.6192562
파티마병원|35.88384877|128.6229896
상수도동부사업소|35.880207|128.6140215
신암2동주민센터|35.8799695|128.6127068
동구청|35.88655942|128.6354741
동대구역|35.87943775|128.6287185
신암4동주민센터|35.8850364|128.6293294
대구덕성초등학교|35.88210557|128.6284773
KT 동대구지사|35.88422588|128.6268198
바로본병원|35.8684136|128.6151819
동대구대성빌딩|35.8750542|128.6238218
신천3동주민센터|35.87541517|128.6237458
신천지하철역|35.87463187|128.6176509
동부소방서|35.87598585|128.6252252
동대구역치안센터|35.8773368|128.6263248
신천치안센터|35.8699333|128.6148406
송라시장|35.87448676|128.6153095
동보한방의원|35.874035|128.6175126
대구효신초등학교|35.8726276|128.6321105
동신초등학교|35.869074|128.628991
동부주유소|35.8727469|128.6346617
신대한LPG제1충전소|35.87604816|128.6219491
효신시장|35.8744512|128.6326144
신천4동주민센터|35.8717286|128.629306
신천4동우체국|35.8761387|128.628287
신천1,2동주민센터|35.8699333|128.6148406
KT&G 동대구지점|35.86800482|128.628734
동대구세무서|35.8673843|128.629075
MH컨벤션웨딩|35.867868|128.6272081
㈜아모레퍼시픽|35.8673211|128.6272603
LG텔레콤 대구교환국|35.8697765|128.6265246
극동주유소|35.8751122|128.6213294
동대구역전시장|35.87430058|128.6205261
대구신천초등학교|35.87165608|128.6210093
대성산업㈜하이웨이주유소|35.8676734|128.6236282
㈜영남일보|35.8696738|128.6249367
대구경북디자인센타|35.8714021|128.6248352
대구상공회의소|35.8710897|128.624959
스마트 벤처창업 학교|35.8723182|128.624827
입석중학교|35.89105302|128.6448024
대구율하초등학교|35.86781358|128.7015369
율하지하철역|35.86977924|128.6927795
안일초등학교|35.87142447|128.6952236
율하체육공원 잔디구장|35.85992363|128.69284
율하체육공원 생태연못|35.85992363|128.69284
율하체육공원 관리실|35.85992363|128.69284
율하주유소|35.87302101|128.6998251
롯데쇼핑프라자|35.86846302|128.6933316
팔공산자연공원4|35.98790526|128.6943218
율하체육공원 축구장|35.85992363|128.69284
늘푸른알뜰주유소|35.98790526|128.6943218
㈜한대동부주유소|35.87488087|128.6873122
동도LPG충전소|35.87158581|128.6901696
동도주유소|35.8718719|128.6899322
동대구터미널주유소|35.8729949|128.6870556
화랑주유소|35.8748179|128.6768034
대성산업㈜ 강촌대성주유소|35.87551034|128.6760278
용계지하철역|35.87624356|128.6816456
동대구고속주유소|35.87691901|128.6784404
동진주유소|35.87753115|128.6782404
용계치안센터|35.8758176|128.6814593
조일공업고등학교|35.88208666|128.6944543
대구벤처센타|35.872829|128.6248342
벼룩시장|35.87350785|128.6248207
천일주유소|35.8754396|128.6805517
㈜삼양사|35.8746811|128.6248621
청구중학교|35.86865579|128.6205717
청구고등학교|35.86865579|128.6205717
효목시장|35.88291358|128.6427251
SK엔크린효동로주유소|35.883342|128.6435556
㈜경북가스|35.88071824|128.635844
대원주유소|35.8829273|128.6448824
광복회조양회관|35.8770986|128.654603
효목1치안센터|35.88483936|128.6405457
아양아트센터|35.87956478|128.6519603
팔공산자연공원9 (파계지구주차장)|35.99089789|128.637144
팔공산자연공원8|35.9708248|128.7255456
팔공산자연공원7|35.97226|128.7280408
지저동주민센터|35.99357783|128.6813168
하나주유소|35.8960149|128.640138
공항랜드주유소|35.8958792|128.6410795
공항시장|35.896308|128.6389305
SK네트웍스㈜ 공항셀프주유소|35.8971279|128.6401579
팔공산I.C주유소|35.8964705|128.6404051
대구공항|35.89988945|128.6375558
동북주유소|35.95305643|128.6343569
현이주유소|35.9606183|128.6319242
신숭겸장군유적지|35.94210574|128.6409753
공산주유소|35.94023587|128.6453868
팔공산자연공원6|35.994133|128.6814789
팔공산자연공원5|35.9935605|128.6813231
공산파출소|35.97914413|128.6336841
