name|latitude|longitude
화랑공원|35.8734791|128.628599
달서지역자활센터|35.8790756|128.6287185
달서행복지역자활센터|35.8802844|128.5692187
달서구청소년쉼터|35.8610365|128.5633478
태전1동주민센터|35.8527016|128.4979101
태전2동주민센터|35.8547496|128.4978565
태전중앙시장|35.8217602|128.521462
함지노인복지관|35.82324193|128.557038
태전공원|35.81748676|128.5191877
대구장애인종합복지관|35.7233173|128.4545652
애활원|35.8018248|128.4874588
황금시장|35.7888974|128.4717664
노인종합복지회관|35.7226391|128.6465416
SOS아동보호센터|35.7238941|128.4550625
수성구청 별관|35.70169037|128.4418193
수성구청 본관|35.7745414|128.4313244
성림아동원|35.803907|128.500813
인제요양원|35.7893104|128.4638592
애망요양원|35.70013059|128.4989673
수성구보건소|35.69757655|128.4828252
수성현대시장|35.7742545|128.4201906
고산1동주민센터|35.6973681|128.4476609
고산3동주민센터|35.86481448|128.4573053
상동주민센터|35.9017047|128.4448339
고산2동주민센터|35.7893104|128.4638592
지산1동주민센터|35.7740353|128.4217832
황금1동주민센터|35.865245|128.4607069
수성23가동주민센터|35.8687493|128.6124786
황금2동주민센터|35.864951|128.6012747
중동주민센터|35.8753917|128.6237458
칠성시장|35.8327943|128.5456058
칠성시장 (삼성)|35.8344453|128.5410812
칠성시장 (청과)|35.8297339|128.5326441
칠성시장 (경명)|35.85578221|128.5011352
침산1동주민센터|35.8122214|128.5228091
침산2동 주민센터|35.84101503|128.5431658
침산3동주민센터|35.8326319|128.530545
대불노인복지관|35.8566419|128.5312386
대현동주민센터|35.858431|128.5230185
동대구시장|35.8516557|128.5106752
동천동 주민센터|35.8558089|128.5008392
무태조야동 분소|35.8589763|128.4988484
복현2동주민센터|35.8195332|128.5228739
북구보건소|35.8309599|128.5283025
진천동 행정복지센터|35.81222021|128.5228075
상인1동 행정복지센터|35.81426653|128.5450082
상인2동 행정복지센터|35.81255741|128.5362546
상인3동 행정복지센터|35.81006963|128.5502023
도원동 행정복지센터|35.80748297|128.5321927
송현1동 행정복지센터|35.82922897|128.554762
송현2동 행정복지센터|35.83278631|128.5455779
본동 행정복지센터|35.83443829|128.5410399
달서구보건소|35.82991428|128.5328409
대곡시장|35.80772228|128.5351265
송현주공시장|35.82275165|128.5481762
용산종합큰시장|35.8576639|128.531333
성서와룡시장|35.85623203|128.4996139
두류종합시장|35.84548802|128.5451448
대동시장|35.81166724|128.5377867
달구벌종합복지관|35.85354369|128.5254597
대구시각장애인복지관|35.85354369|128.5254597
대구청각언어장애인복지관|35.85354369|128.5254597
학산보호작업장|35.84834252|128.5130926
대구광역시청소년수련원|35.82023996|128.5534045
달서구청소년수련관|35.80720022|128.5594461
달서구청소년문화의집|35.80720022|128.5594461
성당동 행정복지센터|35.84061122|128.5531478
두류1·2동 행정복지센터|35.85569114|128.5721965
두류3동 행정복지센터|35.85370576|128.5554754
본리동 행정복지센터|35.8410174|128.5431658
감삼동 행정복지센터|35.8510266|128.5421825
죽전동 행정복지센터|35.85578734|128.5398014
장기동 행정복지센터|35.84332056|128.5299739
용산1동 행정복지센터|35.85663686|128.5312265
용산2동 행정복지센터|35.85843068|128.5229898
이곡1동 행정복지센터|35.8516518|128.5106562
이곡2동 행정복지센터|35.85575426|128.500776
신당동 행정복지센터|35.85896631|128.4988339
월성1동 행정복지센터|35.81951189|128.5228333
월성2동 행정복지센터|35.83095298|128.5282767
달서지역자활센터|35.85575426|128.500776
달서행복지역자활센터|35.80868638|128.5550282
달서구청소년쉼터|35.83613091|128.5394575
성당지역아동센터|35.84264277|128.552376
행복누리장애인보호작업장|35.8457887|128.5053269
달구벌종합스포츠센터|35.85354369|128.5254597
섬들보호작업장|35.85595016|128.5254757
대구성로원|35.81048743|128.521247
대구학생문화센터|35.85302107|128.5295195
자용모자복지관|35.85825758|128.5316027
월배(신)시장|35.81407487|128.5273983
도원시장|35.80757105|128.5367172
봉덕3동행정복지센터|35.84242729|128.5959239
봉덕1동행정복지센터|35.84583464|128.5977453
대명6동행정복지센터|35.83511327|128.5660878
대명4동행정복지센터|35.84600827|128.5695339
대덕문화전당|35.8313777|128.5769993
대구여성의전화부설성(가정)폭력상담소|35.8439613|128.5979379
남구청|35.845792|128.5977724
남구 보건소|35.8539085|128.5915311
남구 다문화가족지원센터|35.84170799|128.5982425
중구시니어클럽|35.8648923|128.601258
어르신마을노인복지센터|35.8567598|128.5979248
성내1동주민센터|35.8692709|128.5980362
동부시장|35.86883225|128.6122807
대신동주민센터|35.865572|128.5763499
대봉2동주민센터|35.858149|128.599763
대봉1동주민센터|35.86154491|128.6043643
대구중구노인상담소|35.872915|128.5927427
경상감영공원|35.87267548|128.5916854
대구청소년지원재단|35.869932|128.5901125
봉산문화회관|35.86339742|128.5965618
중부노인복지센터|35.86301407|128.590403
염매시장|35.866636|128.5924688
서문시장|35.86939323|128.5798557
남산2동주민센터|35.864077|128.589538
삼덕동주민센터|35.865549|128.6089583
대구광역시 중구청|35.86932522|128.6061572
3.1운동길|35.87017966|128.5825214
방천시장|35.861837|128.6060079
번개시장|35.875203|128.5974642
중구 청소년문화의 집|35.8619317|128.597996
가톨릭근로자회관노숙인쉼터|35.8686142|128.591492
남산종합사회복지관|35.86030288|128.5792519
남산기독교종합사회복지관|35.8650401|128.5905646
중구보건소|35.87790436|128.583335
서문시장 명품프라자 상가|35.8699364|128.580904
교동시장|35.8732546|128.5967893
남문시장|35.861048|128.591967
서문시장 제5지구|35.868052|128.5784309
서문시장 제4지구|35.869447|128.580766
대명1동행정복지센터|35.8423746|128.7243619
대명2동행정복지센터|35.8558089|128.5008392
대명3동행정복지센터|35.8361317|128.5394677
대명5동행정복지센터|35.8457718|128.505151
강북노인복지관|35.8534129|128.5251887
강북보건지소|35.8105822|128.5211776
강북장애인주간보호센터|35.8530407|128.5294985
검단동주민센터|35.814063|128.5274149
고성동 주민센터|35.8076078|128.5367641
관문동 주민센터|35.8226744|128.5481495
관문동주민센터(노곡분소)|35.858059|128.531186
관음동 주민센터|35.8454987|128.5451614
관음시장|35.8534129|128.5251887
국우동 주민센터|35.8534129|128.5251887
노원동 주민센터|35.8483546|128.5131072
대구북구청|35.8204704|128.5533069
산격종합시장|35.8071988|128.5594488
상록뇌성마비복지관|35.8556984|128.5722139
서변중앙시장|35.853712|128.5554918
선린장애인주간보호센터|35.8510218|128.5422101
칠곡공설시장|35.855797|128.5398201
팔달신시장|35.8433981|128.5299636
안지랑시장|35.83692135|128.5747467
봉덕2동행정복지센터|35.84385779|128.6011101
대명9동행정복지센터|35.83727565|128.5793354
대덕문화전당|35.8313155|128.5770017
남부시장|35.84142911|128.5778904
남구청소년창작센터|35.85497291|128.5892725
남구시니어클럽|35.85338536|128.5997077
대구수화통역센터|35.8445765|128.5883161
관문시장|35.8365522|128.5573077
서부터미널2|35.83682489|128.5578125
서부터미널(관문시장 외)|35.83682489|128.5578125
대명11동행정복지센터|35.83698958|128.7128214
대구시청소년문화의집|35.8235825|128.6083675
대구아동복지센터|35.8495119|128.6094124
대덕노인종합복지관|35.8440476|128.7066132
대명시장 및 대명신시장|35.8321593|128.6154835
명덕시장|35.8247805|128.6370564
봉덕신시장|35.843988|128.6381642
서부정류장|35.8415612|128.6252321
성당시장|35.8473837|128.6151041
앞산베네스트|35.8292435|128.6209285
영선시장|35.8557848|128.6170511
웰빙전통안마센터|35.8650802|128.618422
대명10동행정복지센터|35.8551058|128.6167525
대명6동행정복지센터|35.90173199|128.609253
봉덕1동행정복지센터|35.8922329|128.604311
봉덕3동행정복지센터|35.8930477|128.6301072
서부터미널(관문시장 외)|35.8772404|128.6039645
서부터미널2|35.8772404|128.6039645
관문시장|35.8903277|128.5812786
대구수화통역센터|35.8920297|128.5893493
남구시니어클럽|35.9214822|128.5487684
남구청소년창작센터|35.9428816|128.570319
남부시장|35.8265788|128.6070623
대덕문화전당|35.8228231|128.608831
대명9동행정복지센터|35.8411411|128.6299045
봉덕2동행정복지센터|35.8732722|128.6465117
안지랑시장|35.8580437|128.630552
이천동주민센터|35.8619736|128.6113392
건강생활지원센터|35.8357167|128.5837225
서구청(별관)|35.8521623|128.5921762
이현시장|35.8591203|128.5758889
중리시장|35.84002858|128.5689557
내당1동주민센터|35.83624038|128.5606341
내당4동주민센터|35.8417305|128.5735803
내당2,3동|35.8552846|128.5864555
비산2,3동|35.8523781|128.5791382
비산1동|35.8432344|128.5878291
비산5동|35.93623885|128.5466992
비산6동|35.937318|128.5581853
비산7동|35.9308266|128.562864
평리1동|35.9136041|128.6273052
평리3동|35.881909|128.5835861
평리4동|35.9028168|128.5430417
상중이동|35.906434|128.5627709
원대동|35.9442414|128.5473329
새길시장|35.9480155|128.5754049
서부시장|35.885724|128.5829108
만평시장|35.8984215|128.6105282
반고개무침회골목|35.9210136|128.5961905
남구 다문화가족지원센터|35.9423746|128.5511118
남구 보건소|35.8907044|128.5659881
남구청|35.8816289|128.6052294
대구여성의전화부설성(가정)폭력상담소|35.937318|128.5581853
대덕문화전당|35.8953539|128.6254941
대명4동행정복지센터|35.8918696|128.5889017
